d,t,l
2022-02-02,9,179
2022-02-02,10,152
2022-02-02,11,117
2022-02-02,12,84
2022-02-02,13,63
2022-02-02,14,59
2022-02-02,15,76
2022-02-02,16,108
2022-02-02,17,146
2022-02-02,18,179
2022-02-02,19,198
2022-02-02,20,195
2022-02-02,21,171
2022-02-02,22,129
2022-02-02,23,79
2022-02-03,0,31
2022-02-03,1,-4
2022-02-03,2,-20
2022-02-03,3,-11
2022-02-03,4,19
2022-02-03,5,65
2022-02-03,6,114
2022-02-03,7,156
2022-02-03,8,181
2022-02-03,9,185
2022-02-03,10,168
2022-02-03,11,135
2022-02-03,12,99
2022-02-03,13,68
2022-02-03,14,53
2022-02-03,15,57
2022-02-03,16,79
2022-02-03,17,115
2022-02-03,18,153
2022-02-03,19,183
2022-02-03,20,195
2022-02-03,21,186
2022-02-03,22,157
2022-02-03,23,113
2022-02-04,0,65
2022-02-04,1,23
2022-02-04,2,-3
2022-02-04,3,-8
2022-02-04,4,9
2022-02-04,5,45
2022-02-04,6,91
2022-02-04,7,135
2022-02-04,8,167
2022-02-04,9,182
2022-02-04,10,175
2022-02-04,11,151
2022-02-04,12,116
2022-02-04,13,81
2022-02-04,14,56
2022-02-04,15,48
2022-02-04,16,58
2022-02-04,17,85
2022-02-04,18,122
2022-02-04,19,156
2022-02-04,20,179
2022-02-04,21,184
2022-02-04,22,170
2022-02-04,23,137
2022-02-05,0,96
2022-02-05,1,54
2022-02-05,2,23
2022-02-05,3,8
2022-02-05,4,13
2022-02-05,5,37
2022-02-05,6,75
2022-02-05,7,116
2022-02-05,8,151
2022-02-05,9,172
2022-02-05,10,176
2022-02-05,11,160
2022-02-05,12,131
2022-02-05,13,97
2022-02-05,14,67
2022-02-05,15,49
2022-02-05,16,48
2022-02-05,17,63
2022-02-05,18,92
2022-02-05,19,125
2022-02-05,20,153
2022-02-05,21,169
2022-02-05,22,168
2022-02-05,23,149
2022-02-06,0,118
2022-02-06,1,82
2022-02-06,2,50
2022-02-06,3,30
2022-02-06,4,26
2022-02-06,5,40
2022-02-06,6,67
2022-02-06,7,102
2022-02-06,8,136
2022-02-06,9,160
2022-02-06,10,170
2022-02-06,11,164
2022-02-06,12,143
2022-02-06,13,113
2022-02-06,14,83
2022-02-06,15,59
2022-02-06,16,47
2022-02-06,17,51
2022-02-06,18,69
2022-02-06,19,96
2022-02-06,20,124
2022-02-06,21,145
2022-02-06,22,153
2022-02-06,23,148
2022-02-07,0,129
2022-02-07,1,103
2022-02-07,2,76
2022-02-07,3,55
